Season,Round,Venue,Date,Home,GHome,GAway,Away,Winner
1996,Regular Season,CEFCU Stadium,1996-04-06,San Jose,1,0,D.C. United,San Jose
1996,Regular Season,Rose Bowl,1996-04-13,LA Galaxy,2,1,MetroStars,LA Galaxy
1996,Regular Season,Houlihan's Stadium,1996-04-13,Tampa Bay,3,2,New England,Tampa Bay
1996,Regular Season,Arrowhead Stadium,1996-04-13,KC Wiz,3,0,Colorado Rapids,KC Wiz
1996,Regular Season,Ohio Stadium,1996-04-13,Columbus Crew,4,0,D.C. United,Columbus Crew
1996,Regular Season,Cotton Bowl,1996-04-14,Dallas Burn,0,0,San Jose,Dallas Burn
1996,Regular Season,Cotton Bowl,1996-04-18,Dallas Burn,3,0,KC Wiz,Dallas Burn
1996,Regular Season,Ohio Stadium,1996-04-20,Columbus Crew,1,2,Tampa Bay,Tampa Bay
1996,Regular Season,Giants Stadium,1996-04-20,MetroStars,0,1,New England,New England
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-04-20,D.C. United,1,2,LA Galaxy,LA Galaxy
1996,Regular Season,CEFCU Stadium,1996-04-21,San Jose,2,2,KC Wiz,KC Wiz
1996,Regular Season,Mile High Stadium,1996-04-21,Colorado Rapids,3,1,Dallas Burn,Colorado Rapids
1996,Regular Season,Foxboro Stadium,1996-04-27,New England,1,1,D.C. United,New England
1996,Regular Season,Giants Stadium,1996-04-27,MetroStars,0,2,Columbus Crew,Columbus Crew
1996,Regular Season,Houlihan's Stadium,1996-04-28,Tampa Bay,1,2,Dallas Burn,Dallas Burn
1996,Regular Season,Rose Bowl,1996-04-28,LA Galaxy,2,1,San Jose,LA Galaxy
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-05-01,D.C. United,3,1,Dallas Burn,D.C. United
1996,Regular Season,Arrowhead Stadium,1996-05-02,KC Wiz,6,4,Columbus Crew,KC Wiz
1996,Regular Season,Giants Stadium,1996-05-04,MetroStars,3,3,Tampa Bay,MetroStars
1996,Regular Season,Foxboro Stadium,1996-05-04,New England,1,2,San Jose,San Jose
1996,Regular Season,Cotton Bowl,1996-05-05,Dallas Burn,0,0,Columbus Crew,Dallas Burn
1996,Regular Season,Rose Bowl,1996-05-05,LA Galaxy,3,1,D.C. United,LA Galaxy
1996,Regular Season,Mile High Stadium,1996-05-05,Colorado Rapids,4,0,KC Wiz,Colorado Rapids
1996,Regular Season,Houlihan's Stadium,1996-05-08,Tampa Bay,2,0,KC Wiz,Tampa Bay
1996,Regular Season,CEFCU Stadium,1996-05-08,San Jose,3,1,Colorado Rapids,San Jose
1996,Regular Season,Ohio Stadium,1996-05-11,Columbus Crew,3,2,New England,Columbus Crew
1996,Regular Season,Arrowhead Stadium,1996-05-11,KC Wiz,2,3,Dallas Burn,Dallas Burn
1996,Regular Season,Mile High Stadium,1996-05-11,Colorado Rapids,1,2,Tampa Bay,Tampa Bay
1996,Regular Season,CEFCU Stadium,1996-05-12,San Jose,1,2,LA Galaxy,LA Galaxy
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-05-12,D.C. United,1,1,MetroStars,MetroStars
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-05-15,D.C. United,5,2,Columbus Crew,D.C. United
1996,Regular Season,Giants Stadium,1996-05-16,MetroStars,3,0,Colorado Rapids,MetroStars
1996,Regular Season,Cotton Bowl,1996-05-18,Dallas Burn,3,2,D.C. United,Dallas Burn
1996,Regular Season,Houlihan's Stadium,1996-05-18,Tampa Bay,3,2,San Jose,Tampa Bay
1996,Regular Season,Foxboro Stadium,1996-05-19,New England,2,0,MetroStars,New England
1996,Regular Season,Rose Bowl,1996-05-19,LA Galaxy,2,0,KC Wiz,LA Galaxy
1996,Regular Season,Ohio Stadium,1996-05-19,Columbus Crew,2,4,Colorado Rapids,Colorado Rapids
1996,Regular Season,Arrowhead Stadium,1996-05-22,KC Wiz,2,1,MetroStars,KC Wiz
1996,Regular Season,Cotton Bowl,1996-05-23,Dallas Burn,0,1,Tampa Bay,Tampa Bay
1996,Regular Season,Foxboro Stadium,1996-05-25,New England,2,2,Colorado Rapids,New England
1996,Regular Season,Rose Bowl,1996-05-26,LA Galaxy,3,2,Columbus Crew,LA Galaxy
1996,Regular Season,Mile High Stadium,1996-05-29,Colorado Rapids,2,0,Dallas Burn,Colorado Rapids
1996,Regular Season,CEFCU Stadium,1996-05-29,San Jose,2,1,KC Wiz,San Jose
1996,Regular Season,Giants Stadium,1996-05-30,MetroStars,1,2,D.C. United,D.C. United
1996,Regular Season,Houlihan's Stadium,1996-06-01,Tampa Bay,1,2,LA Galaxy,LA Galaxy
1996,Regular Season,Arrowhead Stadium,1996-06-01,KC Wiz,2,1,New England,KC Wiz
1996,Regular Season,CEFCU Stadium,1996-06-01,San Jose,2,2,Columbus Crew,San Jose
1996,Regular Season,Mile High Stadium,1996-06-02,Colorado Rapids,2,2,D.C. United,D.C. United
1996,Regular Season,Cotton Bowl,1996-06-02,Dallas Burn,0,1,MetroStars,MetroStars
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-06-05,D.C. United,3,1,San Jose,D.C. United
1996,Regular Season,Arrowhead Stadium,1996-06-05,KC Wiz,1,3,Tampa Bay,Tampa Bay
1996,Regular Season,Foxboro Stadium,1996-06-06,New England,2,2,LA Galaxy,LA Galaxy
1996,Regular Season,Cotton Bowl,1996-06-08,Dallas Burn,4,1,San Jose,Dallas Burn
1996,Regular Season,Houlihan's Stadium,1996-06-08,Tampa Bay,2,1,Colorado Rapids,Tampa Bay
1996,Regular Season,Ohio Stadium,1996-06-08,Columbus Crew,3,3,KC Wiz,KC Wiz
1996,Regular Season,Giants Stadium,1996-06-09,MetroStars,0,4,LA Galaxy,LA Galaxy
1996,Regular Season,Cotton Bowl,1996-06-15,Dallas Burn,1,1,Colorado Rapids,Dallas Burn
1996,Regular Season,Foxboro Stadium,1996-06-15,New England,1,1,KC Wiz,New England
1996,Regular Season,Rose Bowl,1996-06-16,LA Galaxy,2,2,Tampa Bay,LA Galaxy
1996,Regular Season,Giants Stadium,1996-06-16,MetroStars,0,1,San Jose,San Jose
1996,Regular Season,Ohio Stadium,1996-06-19,Columbus Crew,2,2,Colorado Rapids,Colorado Rapids
1996,Regular Season,Giants Stadium,1996-06-19,MetroStars,0,0,Dallas Burn,MetroStars
1996,Regular Season,Arrowhead Stadium,1996-06-20,KC Wiz,5,1,D.C. United,KC Wiz
1996,Regular Season,Houlihan's Stadium,1996-06-22,Tampa Bay,3,3,Columbus Crew,Columbus Crew
1996,Regular Season,Foxboro Stadium,1996-06-23,New England,1,4,Dallas Burn,Dallas Burn
1996,Regular Season,CEFCU Stadium,1996-06-23,San Jose,2,1,D.C. United,San Jose
1996,Regular Season,Rose Bowl,1996-06-26,LA Galaxy,3,1,Colorado Rapids,LA Galaxy
1996,Regular Season,Giants Stadium,1996-06-26,MetroStars,2,0,KC Wiz,MetroStars
1996,Regular Season,Foxboro Stadium,1996-06-27,New England,1,1,Columbus Crew,Columbus Crew
1996,Regular Season,Cotton Bowl,1996-06-29,Dallas Burn,0,1,KC Wiz,KC Wiz
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-06-30,D.C. United,3,1,New England,D.C. United
1996,Regular Season,CEFCU Stadium,1996-06-30,San Jose,4,0,Tampa Bay,San Jose
1996,Regular Season,Ohio Stadium,1996-06-30,Columbus Crew,0,4,MetroStars,MetroStars
1996,Regular Season,Mile High Stadium,1996-06-30,Colorado Rapids,2,1,LA Galaxy,Colorado Rapids
1996,Regular Season,Cotton Bowl,1996-07-04,Dallas Burn,1,1,D.C. United,Dallas Burn
1996,Regular Season,Houlihan's Stadium,1996-07-04,Tampa Bay,4,1,Columbus Crew,Tampa Bay
1996,Regular Season,Rose Bowl,1996-07-04,LA Galaxy,0,1,New England,New England
1996,Regular Season,Mile High Stadium,1996-07-04,Colorado Rapids,2,1,MetroStars,Colorado Rapids
1996,Regular Season,CEFCU Stadium,1996-07-06,San Jose,1,1,New England,New England
1996,Regular Season,Arrowhead Stadium,1996-07-06,KC Wiz,3,1,LA Galaxy,KC Wiz
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-07-07,D.C. United,6,1,Dallas Burn,D.C. United
1996,Regular Season,Mile High Stadium,1996-07-07,Colorado Rapids,2,1,Columbus Crew,Colorado Rapids
1996,Regular Season,Giants Stadium,1996-07-10,MetroStars,3,2,Dallas Burn,MetroStars
1996,Regular Season,Arrowhead Stadium,1996-07-10,KC Wiz,2,0,Colorado Rapids,KC Wiz
1996,Regular Season,Ohio Stadium,1996-07-11,Columbus Crew,1,1,New England,New England
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-07-12,D.C. United,1,0,Tampa Bay,D.C. United
1996,Regular Season,Cotton Bowl,1996-07-17,Dallas Burn,5,2,LA Galaxy,Dallas Burn
1996,Regular Season,Mile High Stadium,1996-07-17,Colorado Rapids,1,2,San Jose,San Jose
1996,Regular Season,Houlihan's Stadium,1996-07-18,Tampa Bay,3,2,KC Wiz,Tampa Bay
1996,Regular Season,Foxboro Stadium,1996-07-20,New England,2,0,D.C. United,New England
1996,Regular Season,Ohio Stadium,1996-07-20,Columbus Crew,3,4,San Jose,San Jose
1996,Regular Season,Arrowhead Stadium,1996-07-20,KC Wiz,1,2,Dallas Burn,Dallas Burn
1996,Regular Season,Mile High Stadium,1996-07-21,Colorado Rapids,1,3,Tampa Bay,Tampa Bay
1996,Regular Season,Rose Bowl,1996-07-21,LA Galaxy,3,0,MetroStars,LA Galaxy
1996,Regular Season,Mile High Stadium,1996-07-24,Colorado Rapids,2,0,New England,Colorado Rapids
1996,Regular Season,CEFCU Stadium,1996-07-24,San Jose,0,1,MetroStars,MetroStars
1996,Regular Season,Ohio Stadium,1996-07-25,Columbus Crew,1,0,Tampa Bay,Columbus Crew
1996,Regular Season,Arrowhead Stadium,1996-07-27,KC Wiz,4,2,New England,KC Wiz
1996,Regular Season,Houlihan's Stadium,1996-07-27,Tampa Bay,4,3,LA Galaxy,Tampa Bay
1996,Regular Season,Cotton Bowl,1996-07-27,Dallas Burn,3,0,Colorado Rapids,Dallas Burn
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-07-28,D.C. United,2,0,Columbus Crew,D.C. United
1996,Regular Season,Giants Stadium,1996-07-28,MetroStars,4,1,San Jose,MetroStars
1996,Regular Season,Foxboro Stadium,1996-07-31,New England,2,0,San Jose,New England
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-07-31,D.C. United,2,3,KC Wiz,KC Wiz
1996,Regular Season,Ohio Stadium,1996-07-31,Columbus Crew,1,2,Dallas Burn,Dallas Burn
1996,Regular Season,Mile High Stadium,1996-08-01,Colorado Rapids,2,2,LA Galaxy,LA Galaxy
1996,Regular Season,Houlihan's Stadium,1996-08-03,Tampa Bay,3,1,Colorado Rapids,Tampa Bay
1996,Regular Season,Foxboro Stadium,1996-08-03,New England,1,1,MetroStars,New England
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-08-04,D.C. United,2,4,KC Wiz,KC Wiz
1996,Regular Season,Rose Bowl,1996-08-04,LA Galaxy,1,1,Columbus Crew,Columbus Crew
1996,Regular Season,Houlihan's Stadium,1996-08-07,Tampa Bay,1,3,D.C. United,D.C. United
1996,Regular Season,Mile High Stadium,1996-08-07,Colorado Rapids,4,2,KC Wiz,Colorado Rapids
1996,Regular Season,Rose Bowl,1996-08-08,LA Galaxy,1,0,New England,LA Galaxy
1996,Regular Season,Cotton Bowl,1996-08-10,Dallas Burn,2,1,Tampa Bay,Dallas Burn
1996,Regular Season,Ohio Stadium,1996-08-10,Columbus Crew,3,2,D.C. United,Columbus Crew
1996,Regular Season,Arrowhead Stadium,1996-08-11,KC Wiz,2,2,LA Galaxy,KC Wiz
1996,Regular Season,CEFCU Stadium,1996-08-11,San Jose,6,1,New England,San Jose
1996,Regular Season,Mile High Stadium,1996-08-11,Colorado Rapids,0,2,MetroStars,MetroStars
1996,Regular Season,Giants Stadium,1996-08-14,MetroStars,4,0,New England,MetroStars
1996,Regular Season,Cotton Bowl,1996-08-14,Dallas Burn,2,2,Columbus Crew,Columbus Crew
1996,Regular Season,Arrowhead Stadium,1996-08-15,KC Wiz,4,1,San Jose,KC Wiz
1996,Regular Season,Foxboro Stadium,1996-08-16,New England,2,0,Colorado Rapids,New England
1996,Regular Season,Houlihan's Stadium,1996-08-17,Tampa Bay,3,1,MetroStars,Tampa Bay
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-08-18,D.C. United,2,1,LA Galaxy,D.C. United
1996,Regular Season,Ohio Stadium,1996-08-18,Columbus Crew,2,0,San Jose,Columbus Crew
1996,Regular Season,Foxboro Stadium,1996-08-21,New England,4,2,Tampa Bay,New England
1996,Regular Season,Rose Bowl,1996-08-21,LA Galaxy,1,1,KC Wiz,KC Wiz
1996,Regular Season,Giants Stadium,1996-08-21,MetroStars,2,3,D.C. United,D.C. United
1996,Regular Season,CEFCU Stadium,1996-08-22,San Jose,0,0,Dallas Burn,San Jose
1996,Regular Season,Ohio Stadium,1996-08-24,Columbus Crew,2,1,KC Wiz,Columbus Crew
1996,Regular Season,Rose Bowl,1996-08-25,LA Galaxy,2,3,Dallas Burn,Dallas Burn
1996,Regular Season,CEFCU Stadium,1996-08-25,San Jose,1,0,Colorado Rapids,San Jose
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-08-25,D.C. United,3,0,Tampa Bay,D.C. United
1996,Regular Season,Ohio Stadium,1996-08-28,Columbus Crew,2,0,LA Galaxy,Columbus Crew
1996,Regular Season,Mile High Stadium,1996-08-29,Colorado Rapids,1,2,D.C. United,D.C. United
1996,Regular Season,Houlihan's Stadium,1996-08-31,Tampa Bay,3,1,New England,Tampa Bay
1996,Regular Season,CEFCU Stadium,1996-09-01,San Jose,1,1,LA Galaxy,LA Galaxy
1996,Regular Season,Arrowhead Stadium,1996-09-01,KC Wiz,2,2,MetroStars,KC Wiz
1996,Regular Season,Foxboro Stadium,1996-09-04,New England,2,1,Dallas Burn,New England
1996,Regular Season,Giants Stadium,1996-09-04,MetroStars,0,2,Tampa Bay,Tampa Bay
1996,Regular Season,Rose Bowl,1996-09-05,LA Galaxy,0,0,Colorado Rapids,Colorado Rapids
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-09-06,D.C. United,1,2,MetroStars,MetroStars
1996,Regular Season,Cotton Bowl,1996-09-07,Dallas Burn,0,2,New England,New England
1996,Regular Season,Arrowhead Stadium,1996-09-07,KC Wiz,1,5,Columbus Crew,Columbus Crew
1996,Regular Season,Mile High Stadium,1996-09-08,Colorado Rapids,1,3,San Jose,San Jose
1996,Regular Season,Giants Stadium,1996-09-10,MetroStars,3,1,LA Galaxy,MetroStars
1996,Regular Season,CEFCU Stadium,1996-09-11,San Jose,2,2,Dallas Burn,Dallas Burn
1996,Regular Season,Foxboro Stadium,1996-09-12,New England,1,2,Tampa Bay,Tampa Bay
1996,Regular Season,Houlihan's Stadium,1996-09-14,Tampa Bay,2,0,D.C. United,Tampa Bay
1996,Regular Season,Ohio Stadium,1996-09-15,Columbus Crew,2,0,MetroStars,Columbus Crew
1996,Regular Season,Rose Bowl,1996-09-15,LA Galaxy,4,2,San Jose,LA Galaxy
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-09-17,D.C. United,3,2,New England,D.C. United
1996,Regular Season,Giants Stadium,1996-09-18,MetroStars,1,0,Columbus Crew,MetroStars
1996,Regular Season,CEFCU Stadium,1996-09-18,San Jose,1,1,Tampa Bay,Tampa Bay
1996,Regular Season,Cotton Bowl,1996-09-19,Dallas Burn,1,2,LA Galaxy,LA Galaxy
1996,Regular Season,Foxboro Stadium,1996-09-21,New England,0,1,Columbus Crew,Columbus Crew
1996,Regular Season,Arrowhead Stadium,1996-09-21,KC Wiz,0,0,San Jose,San Jose
1996,Regular Season,Houlihan's Stadium,1996-09-21,Tampa Bay,4,1,MetroStars,Tampa Bay
1996,Regular Season,Robert F. Kennedy Memorial Stadium,1996-09-21,D.C. United,3,1,Colorado Rapids,D.C. United
1996,Regular Season,Rose Bowl,1996-09-22,LA Galaxy,2,1,Dallas Burn,LA Galaxy
1996,Conference Semifinals,Giants Stadium,1996-09-24,MetroStars,2,2,D.C. United,MetroStars
1996,Conference Semifinals,Ohio Stadium,1996-09-25,Columbus Crew,0,2,Tampa Bay,Tampa Bay
1996,Conference Semifinals,Arrowhead Stadium,1996-09-26,KC Wiz,3,2,Dallas Burn,KC Wiz
1996,Conference Semifinals,CEFCU Stadium,1996-09-26,San Jose,1,0,LA Galaxy,San Jose
1996,Conference Semifinals,Robert F. Kennedy Memorial Stadium,1996-09-27,D.C. United,1,0,MetroStars,D.C. United
1996,Conference Semifinals,Houlihan's Stadium,1996-09-28,Tampa Bay,1,2,Columbus Crew,Columbus Crew
1996,Conference Semifinals,Rose Bowl,1996-09-29,LA Galaxy,2,0,San Jose,LA Galaxy
1996,Conference Semifinals,Cotton Bowl,1996-09-29,Dallas Burn,2,1,KC Wiz,Dallas Burn
1996,Conference Semifinals,Cotton Bowl,1996-10-02,Dallas Burn,2,2,KC Wiz,KC Wiz
1996,Conference Semifinals,Houlihan's Stadium,1996-10-02,Tampa Bay,4,1,Columbus Crew,Tampa Bay
1996,Conference Semifinals,Robert F. Kennedy Memorial Stadium,1996-10-02,D.C. United,2,1,MetroStars,D.C. United
1996,Conference Semifinals,Rose Bowl,1996-10-02,LA Galaxy,2,0,San Jose,LA Galaxy
1996,Conference Finals,Rose Bowl,1996-10-10,LA Galaxy,2,1,KC Wiz,LA Galaxy
1996,Conference Finals,Robert F. Kennedy Memorial Stadium,1996-10-10,D.C. United,4,1,Tampa Bay,D.C. United
1996,Conference Finals,Houlihan's Stadium,1996-10-12,Tampa Bay,1,2,D.C. United,D.C. United
1996,Conference Finals,Arrowhead Stadium,1996-10-13,KC Wiz,1,1,LA Galaxy,LA Galaxy
1996,MLS Cup '96,Foxboro Stadium (Neutral Site),1996-10-20,LA Galaxy,2,3,D.C. United,D.C. United
1997,Regular Season,CEFCU Stadium,1997-03-22,San Jose,0,0,MetroStars,San Jose
1997,Regular Season,Cotton Bowl,1997-03-29,Dallas Burn,0,1,New England,New England
1997,Regular Season,Rose Bowl,1997-03-29,LA Galaxy,0,0,D.C. United,D.C. United
1997,Regular Season,Ohio Stadium,1997-03-29,Columbus Crew,1,1,Colorado Rapids,Columbus Crew
1997,Regular Season,Arrowhead Stadium,1997-03-29,KC Wizards,2,2,San Jose,KC Wizards
1997,Regular Season,Houlihan's Stadium,1997-03-29,Tampa Bay,2,1,MetroStars,Tampa Bay
1997,Regular Season,Robert F. Kennedy Memorial Stadium,1997-04-05,D.C. United,2,1,MetroStars,D.C. United
1997,Regular Season,Mile High Stadium,1997-04-05,Colorado Rapids,2,0,Columbus Crew,Colorado Rapids
1997,Regular Season,Arrowhead Stadium,1997-04-05,KC Wizards,3,2,LA Galaxy,KC Wizards
1997,Regular Season,Cotton Bowl,1997-04-05,Dallas Burn,2,1,San Jose,Dallas Burn
1997,Regular Season,Houlihan's Stadium,1997-04-06,Tampa Bay,4,0,New England,Tampa Bay
1997,Regular Season,CEFCU Stadium,1997-04-12,San Jose,4,1,LA Galaxy,San Jose
1997,Regular Season,Giants Stadium,1997-04-12,MetroStars,3,1,New England,MetroStars
1997,Regular Season,Houlihan's Stadium,1997-04-12,Tampa Bay,2,1,KC Wizards,Tampa Bay
1997,Regular Season,Mile High Stadium,1997-04-12,Colorado Rapids,2,5,D.C. United,D.C. United
1997,Regular Season,Ohio Stadium,1997-04-13,Columbus Crew,2,1,Dallas Burn,Columbus Crew
1997,Regular Season,Rose Bowl,1997-04-18,LA Galaxy,2,1,Colorado Rapids,LA Galaxy
1997,Regular Season,Arrowhead Stadium,1997-04-18,KC Wizards,2,1,Dallas Burn,KC Wizards
1997,Regular Season,Giants Stadium,1997-04-19,MetroStars,1,2,D.C. United,D.C. United
1997,Regular Season,Ohio Stadium,1997-04-19,Columbus Crew,1,1,San Jose,Columbus Crew
1997,Regular Season,Foxboro Stadium,1997-04-20,New England,2,1,Tampa Bay,New England
1997,Regular Season,Cotton Bowl,1997-04-20,Dallas Burn,4,1,Colorado Rapids,Dallas Burn
1997,Regular Season,Mile High Stadium,1997-04-23,Colorado Rapids,1,0,Dallas Burn,Colorado Rapids
1997,Regular Season,Robert F. Kennedy Memorial Stadium,1997-04-26,D.C. United,2,2,San Jose,San Jose
1997,Regular Season,Foxboro Stadium,1997-04-26,New England,1,1,Colorado Rapids,New England
1997,Regular Season,Giants Stadium,1997-04-26,MetroStars,2,1,Columbus Crew,MetroStars
1997,Regular Season,Rose Bowl,1997-04-26,LA Galaxy,1,1,Dallas Burn,Dallas Burn
1997,Regular Season,Arrowhead Stadium,1997-04-27,KC Wizards,2,2,Tampa Bay,Tampa Bay
1997,Regular Season,Robert F. Kennedy Memorial Stadium,1997-05-02,D.C. United,2,0,LA Galaxy,D.C. United
1997,Regular Season,Foxboro Stadium,1997-05-03,New England,2,1,KC Wizards,New England
1997,Regular Season,CEFCU Stadium,1997-05-03,San Jose,1,3,Columbus Crew,Columbus Crew
1997,Regular Season,Mile High Stadium,1997-05-03,Colorado Rapids,2,0,Tampa Bay,Colorado Rapids
1997,Regular Season,Cotton Bowl,1997-05-04,Dallas Burn,2,2,D.C. United,Dallas Burn
1997,Regular Season,Giants Stadium,1997-05-04,MetroStars,0,0,LA Galaxy,MetroStars
1997,Regular Season,Giants Stadium,1997-05-09,MetroStars,0,1,San Jose,San Jose
1997,Regular Season,Foxboro Stadium,1997-05-09,New England,0,2,Columbus Crew,Columbus Crew
1997,Regular Season,Houlihan's Stadium,1997-05-10,Tampa Bay,2,1,Colorado Rapids,Tampa Bay
1997,Regular Season,Robert F. Kennedy Memorial Stadium,1997-05-10,D.C. United,2,2,Dallas Burn,Dallas Burn
1997,Regular Season,Arrowhead Stadium,1997-05-10,KC Wizards,1,0,LA Galaxy,KC Wizards
1997,Regular Season,Ohio Stadium,1997-05-11,Columbus Crew,3,0,MetroStars,Columbus Crew
1997,Regular Season,CEFCU Stadium,1997-05-16,San Jose,1,1,New England,New England
1997,Regular Season,Mile High Stadium,1997-05-17,Colorado Rapids,1,1,Columbus Crew,Colorado Rapids
1997,Regular Season,Cotton Bowl,1997-05-17,Dallas Burn,2,0,Tampa Bay,Dallas Burn
1997,Regular Season,Foxboro Stadium,1997-05-18,New England,0,0,D.C. United,D.C. United
1997,Regular Season,Rose Bowl,1997-05-18,LA Galaxy,1,1,San Jose,LA Galaxy
1997,Regular Season,Giants Stadium,1997-05-18,MetroStars,1,0,KC Wizards,MetroStars
1997,Regular Season,Robert F. Kennedy Memorial Stadium,1997-05-22,D.C. United,3,1,San Jose,D.C. United
1997,Regular Season,Arrowhead Stadium,1997-05-22,KC Wizards,3,1,Columbus Crew,KC Wizards
1997,Regular Season,Houlihan's Stadium,1997-05-23,Tampa Bay,1,3,Dallas Burn,Dallas Burn
1997,Regular Season,Mile High Stadium,1997-05-24,Colorado Rapids,1,2,New England,New England
1997,Regular Season,Rose Bowl,1997-05-25,LA Galaxy,1,0,Columbus Crew,LA Galaxy
1997,Regular Season,Giants Stadium,1997-05-25,MetroStars,3,2,Tampa Bay,MetroStars
1997,Regular Season,Ohio Stadium,1997-05-29,Columbus Crew,2,3,D.C. United,D.C. United
1997,Regular Season,Rose Bowl,1997-05-30,LA Galaxy,1,3,KC Wizards,KC Wizards
1997,Regular Season,Foxboro Stadium,1997-05-30,New England,3,1,MetroStars,New England
1997,Regular Season,Foxboro Stadium,1997-06-01,New England,3,1,Dallas Burn,New England
1997,Regular Season,CEFCU Stadium,1997-06-01,San Jose,2,3,D.C. United,D.C. United
1997,Regular Season,Mile High Stadium,1997-06-01,Colorado Rapids,2,0,Tampa Bay,Colorado Rapids
1997,Regular Season,Cotton Bowl,1997-06-06,Dallas Burn,1,1,KC Wizards,KC Wizards
1997,Regular Season,Robert F. Kennedy Memorial Stadium,1997-06-07,D.C. United,5,0,Colorado Rapids,D.C. United
1997,Regular Season,Houlihan's Stadium,1997-06-07,Tampa Bay,3,1,Columbus Crew,Tampa Bay
1997,Regular Season,CEFCU Stadium,1997-06-08,San Jose,2,3,KC Wizards,KC Wizards
1997,Regular Season,Foxboro Stadium,1997-06-08,New England,0,0,LA Galaxy,New England
1997,Regular Season,Giants Stadium,1997-06-13,MetroStars,1,3,Colorado Rapids,Colorado Rapids
1997,Regular Season,Foxboro Stadium,1997-06-14,New England,0,1,D.C. United,D.C. United
1997,Regular Season,Rose Bowl,1997-06-15,LA Galaxy,4,1,Tampa Bay,LA Galaxy
1997,Regular Season,Arrowhead Stadium,1997-06-15,KC Wizards,1,3,San Jose,San Jose
1997,Regular Season,Cotton Bowl,1997-06-15,Dallas Burn,3,1,MetroStars,Dallas Burn
1997,Regular Season,Ohio Stadium,1997-06-15,Columbus Crew,0,2,Colorado Rapids,Colorado Rapids
1997,Regular Season,Arrowhead Stadium,1997-06-21,KC Wizards,6,1,D.C. United,KC Wizards
1997,Regular Season,Houlihan's Stadium,1997-06-21,Tampa Bay,3,1,San Jose,Tampa Bay
1997,Regular Season,Ohio Stadium,1997-06-21,Columbus Crew,2,1,MetroStars,Columbus Crew
1997,Regular Season,Mile High Stadium,1997-06-21,Colorado Rapids,2,1,LA Galaxy,Colorado Rapids
1997,Regular Season,Foxboro Stadium,1997-06-22,New England,2,2,Dallas Burn,New England
1997,Regular Season,Arrowhead Stadium,1997-06-25,KC Wizards,2,2,Tampa Bay,KC Wizards
1997,Regular Season,Mile High Stadium,1997-06-28,Colorado Rapids,3,3,KC Wizards,KC Wizards
1997,Regular Season,Houlihan's Stadium,1997-06-28,Tampa Bay,3,2,LA Galaxy,Tampa Bay
1997,Regular Season,CEFCU Stadium,1997-06-28,San Jose,3,1,Dallas Burn,San Jose
1997,Regular Season,Rose Bowl,1997-07-04,LA Galaxy,2,0,New England,LA Galaxy
1997,Regular Season,Houlihan's Stadium,1997-07-04,Tampa Bay,1,0,MetroStars,Tampa Bay
1997,Regular Season,Ohio Stadium,1997-07-04,Columbus Crew,1,2,KC Wizards,KC Wizards
1997,Regular Season,Mile High Stadium,1997-07-04,Colorado Rapids,3,1,San Jose,Colorado Rapids
1997,Regular Season,Cotton Bowl,1997-07-04,Dallas Burn,2,3,D.C. United,D.C. United
1997,Regular Season,Robert F. Kennedy Memorial Stadium,1997-07-06,D.C. United,3,2,Tampa Bay,D.C. United
1997,Regular Season,Arrowhead Stadium,1997-07-06,KC Wizards,1,3,Dallas Burn,Dallas Burn
1997,Regular Season,CEFCU Stadium,1997-07-06,San Jose,3,2,New England,San Jose
1997,Regular Season,Rose Bowl,1997-07-12,LA Galaxy,3,1,D.C. United,LA Galaxy
1997,Regular Season,Foxboro Stadium,1997-07-12,New England,2,0,KC Wizards,New England
1997,Regular Season,CEFCU Stadium,1997-07-13,San Jose,2,2,Tampa Bay,Tampa Bay
1997,Regular Season,Ohio Stadium,1997-07-13,Columbus Crew,1,2,Dallas Burn,Dallas Burn
1997,Regular Season,Giants Stadium,1997-07-13,MetroStars,4,1,Colorado Rapids,MetroStars
1997,Regular Season,Foxboro Stadium,1997-07-18,New England,4,2,Tampa Bay,New England
1997,Regular Season,Cotton Bowl,1997-07-18,Dallas Burn,3,1,San Jose,Dallas Burn
1997,Regular Season,Arrowhead Stadium,1997-07-19,KC Wizards,3,2,D.C. United,KC Wizards
1997,Regular Season,Giants Stadium,1997-07-20,MetroStars,0,4,LA Galaxy,LA Galaxy
1997,Regular Season,Mile High Stadium,1997-07-20,Colorado Rapids,2,4,Dallas Burn,Dallas Burn
1997,Regular Season,Ohio Stadium,1997-07-20,Columbus Crew,1,0,New England,Columbus Crew
