,Season,Round,Venue,Date,Home,GHome,GAway,Away,Winner
4412,2018.0,Regular Season,BBVA Compass Stadium,2018-08-04,HOU,0.0,1.0,SKC,SKC
4413,2018.0,Regular Season,Dick's Sporting Goods Park,2018-08-04,COL,2.0,1.0,LA,COL
4414,2018.0,Regular Season,TCF Bank Stadium,2018-08-04,MIN,1.0,2.0,SEA,SEA
4415,2018.0,Regular Season,Providence Park,2018-08-04,POR,3.0,0.0,PHI,POR
4416,2018.0,Regular Season,Rio Tinto Stadium,2018-08-04,RSL,2.0,1.0,CHI,RSL
4417,2018.0,Regular Season,Toyota Stadium,2018-08-04,DAL,1.0,3.0,SJ,SJ
4418,2018.0,Regular Season,Red Bull Arena,2018-08-05,RBNY,2.0,1.0,LAFC,RBNY
4419,2018.0,Regular Season,Banc of California Stadium,2018-08-11,LAFC,0.0,2.0,SKC,SKC
4420,2018.0,Regular Season,Gillette Stadium,2018-08-11,NE,2.0,3.0,PHI,PHI
4421,2018.0,Regular Season,SeatGeek Stadium,2018-08-11,CHI,0.0,1.0,RBNY,RBNY
4422,2018.0,Regular Season,Providence Park,2018-08-11,POR,1.0,2.0,VAN,VAN
4423,2018.0,Regular Season,MAPFRE Stadium,2018-08-11,CLB,1.0,0.0,HOU,CLB
4424,2018.0,Regular Season,Dick's Sporting Goods Park,2018-08-11,COL,2.0,1.0,SJ,COL
4425,2018.0,Regular Season,Audi Field,2018-08-12,DC,3.0,2.0,ORL,DC
4426,2018.0,Regular Season,BMO Field,2018-08-12,TOR,2.0,3.0,NYC,NYC
4427,2018.0,Regular Season,CenturyLink Field,2018-08-12,SEA,2.0,1.0,DAL,SEA
4428,2018.0,Regular Season,Banc of California Stadium,2018-08-15,LAFC,2.0,0.0,RSL,LAFC
4429,2018.0,Regular Season,Audi Field,2018-08-15,DC,4.0,1.0,POR,DC
4430,2018.0,Regular Season,Saputo Stadium,2018-08-18,MTL,2.0,1.0,CHI,MTL
4431,2018.0,Regular Season,BBVA Compass Stadium,2018-08-18,HOU,1.0,2.0,RSL,RSL
4432,2018.0,Regular Season,Children's Mercy Park,2018-08-18,SKC,3.0,0.0,POR,SKC
4433,2018.0,Regular Season,CenturyLink Field,2018-08-18,SEA,5.0,0.0,LA,SEA
4434,2018.0,Regular Season,Toyota Stadium,2018-08-18,DAL,2.0,0.0,MIN,DAL
4435,2018.0,Regular Season,Subaru Park,2018-08-18,PHI,2.0,0.0,NYC,PHI
4436,2018.0,Regular Season,Banc of California Stadium,2018-08-19,LAFC,2.0,0.0,COL,LAFC
4437,2018.0,Regular Season,Mercedes-Benz Stadium,2018-08-19,ATL,3.0,1.0,CLB,ATL
4438,2018.0,Regular Season,Audi Field,2018-08-19,DC,2.0,0.0,NE,DC
4439,2018.0,Regular Season,Exploria Stadium,2018-08-24,ORL,1.0,2.0,ATL,ATL
4440,2018.0,Regular Season,Children's Mercy Park,2018-08-25,SKC,2.0,0.0,MIN,SKC
4441,2018.0,Regular Season,Subaru Park,2018-08-25,PHI,1.0,0.0,NE,PHI
4442,2018.0,Regular Season,Avaya Stadium,2018-08-25,SJ,2.0,3.0,VAN,VAN
4443,2018.0,Regular Season,Dick's Sporting Goods Park,2018-08-25,COL,0.0,6.0,RSL,RSL
4444,2018.0,Regular Season,BMO Field,2018-08-25,TOR,3.0,1.0,MTL,TOR
4445,2018.0,Regular Season,Red Bull Arena,2018-08-26,RBNY,1.0,0.0,DC,RBNY
4446,2018.0,Regular Season,Providence Park,2018-08-26,POR,0.0,1.0,SEA,SEA
4447,2018.0,Regular Season,Providence Park,2018-08-29,POR,2.0,0.0,TOR,POR
4448,2018.0,Regular Season,Red Bull Arena,2018-08-29,RBNY,1.0,0.0,HOU,RBNY
4449,2018.0,Regular Season,Audi Field,2018-08-29,DC,0.0,2.0,PHI,PHI
4450,2018.0,Regular Season,Avaya Stadium,2018-08-29,SJ,4.0,3.0,DAL,SJ
4451,2018.0,Regular Season,Rio Tinto Stadium,2018-09-01,RSL,6.0,2.0,LA,RSL
4452,2018.0,Regular Season,BMO Field,2018-09-01,TOR,2.0,4.0,LAFC,LAFC
4453,2018.0,Regular Season,Toyota Stadium,2018-09-01,DAL,4.0,2.0,HOU,DAL
4454,2018.0,Regular Season,BC Place,2018-09-01,VAN,2.0,1.0,SJ,VAN
4455,2018.0,Regular Season,CenturyLink Field,2018-09-01,SEA,3.0,1.0,SKC,SEA
4456,2018.0,Regular Season,MAPFRE Stadium,2018-09-01,CLB,2.0,1.0,NYC,CLB
4457,2018.0,Regular Season,Saputo Stadium,2018-09-01,MTL,3.0,0.0,RBNY,MTL
4458,2018.0,Regular Season,Audi Field,2018-09-02,DC,3.0,1.0,ATL,DC
4459,2018.0,Regular Season,Yankee Stadium,2018-09-05,NYC,0.0,1.0,NE,NE
4460,2018.0,Regular Season,Children's Mercy Park,2018-09-08,SKC,1.0,0.0,ORL,SKC
4461,2018.0,Regular Season,Providence Park,2018-09-08,POR,2.0,0.0,COL,POR
4462,2018.0,Regular Season,Audi Field,2018-09-12,DC,2.0,1.0,MIN,DC
4463,2018.0,Regular Season,BC Place,2018-09-15,VAN,1.0,2.0,SEA,SEA
4464,2018.0,Regular Season,Avaya Stadium,2018-09-15,SJ,1.0,5.0,SKC,SKC
4465,2018.0,Regular Season,BMO Field,2018-09-15,TOR,5.0,3.0,LA,TOR
4466,2018.0,Regular Season,Dick's Sporting Goods Park,2018-09-15,COL,0.0,3.0,ATL,ATL
4467,2018.0,Regular Season,Subaru Park,2018-09-15,PHI,1.0,4.0,MTL,MTL
4468,2018.0,Regular Season,BBVA Compass Stadium,2018-09-15,HOU,4.0,1.0,POR,HOU
4469,2018.0,Regular Season,SeatGeek Stadium,2018-09-16,CHI,4.0,0.0,ORL,CHI
4470,2018.0,Regular Season,CenturyLink Field,2018-09-19,SEA,0.0,1.0,PHI,PHI
4471,2018.0,Regular Season,Avaya Stadium,2018-09-19,SJ,3.0,4.0,ATL,ATL
4472,2018.0,Regular Season,Providence Park,2018-09-19,POR,3.0,2.0,CLB,POR
4473,2018.0,Regular Season,MAPFRE Stadium,2018-09-22,CLB,2.0,1.0,COL,CLB
4474,2018.0,Regular Season,Mercedes-Benz Stadium,2018-09-22,ATL,2.0,0.0,RSL,ATL
4475,2018.0,Regular Season,Banc of California Stadium,2018-09-22,LAFC,2.0,0.0,SJ,LAFC
4476,2018.0,Regular Season,TCF Bank Stadium,2018-09-22,MIN,3.0,2.0,POR,MIN
4477,2018.0,Regular Season,Red Bull Arena,2018-09-22,RBNY,2.0,0.0,TOR,RBNY
4478,2018.0,Regular Season,Dignity Health Sports Park,2018-09-23,LA,3.0,0.0,SEA,LA
4479,2018.0,Regular Season,Subaru Park,2018-09-23,PHI,2.0,0.0,SKC,PHI
4480,2018.0,Regular Season,BC Place,2018-09-23,VAN,1.0,2.0,DAL,DAL
4481,2018.0,Regular Season,Yankee Stadium,2018-09-26,NYC,2.0,0.0,CHI,NYC
4482,2018.0,Regular Season,TCF Bank Stadium,2018-09-29,MIN,2.0,1.0,NYC,MIN
4483,2018.0,Regular Season,SeatGeek Stadium,2018-09-29,CHI,3.0,1.0,LAFC,CHI
4484,2018.0,Regular Season,BBVA Compass Stadium,2018-09-29,HOU,3.0,2.0,SJ,HOU
4485,2018.0,Regular Season,BMO Field,2018-09-29,TOR,4.0,1.0,NE,TOR
4486,2018.0,Regular Season,CenturyLink Field,2018-09-29,SEA,4.0,0.0,COL,SEA
4487,2018.0,Regular Season,Audi Field,2018-09-29,DC,5.0,0.0,MTL,DC
4488,2018.0,Regular Season,Dignity Health Sports Park,2018-09-29,LA,3.0,0.0,VAN,LA
4489,2018.0,Regular Season,Red Bull Arena,2018-09-30,RBNY,2.0,0.0,ATL,RBNY
4490,2018.0,Regular Season,Avaya Stadium,2018-10-06,SJ,1.0,3.0,RBNY,RBNY
4491,2018.0,Regular Season,Rio Tinto Stadium,2018-10-06,RSL,1.0,4.0,POR,POR
4492,2018.0,Regular Season,Mercedes-Benz Stadium,2018-10-06,ATL,2.0,1.0,NE,ATL
4493,2018.0,Regular Season,Subaru Park,2018-10-06,PHI,5.0,1.0,MIN,PHI
4494,2018.0,Regular Season,Saputo Stadium,2018-10-06,MTL,3.0,0.0,CLB,MTL
